Frequency_Hz,SPL_dB,BPF_Ratio
3196.6667,-86.34082,13.700001
3208.3335,-82.3671,13.750001
3220.0,-83.46022,13.8
3231.6667,-98.77929,13.85
3243.3335,-81.45494,13.900001
3255.0,-80.74252,13.950001
3266.6667,-64.79115,14.000001
3278.3335,-90.30036,14.050001
3290.0,-77.52506,14.1
3301.6667,-79.0051,14.150001
3313.3335,-88.82886,14.200001
3325.0,-84.0865,14.25
3336.6667,-84.377625,14.3
3348.3335,-81.19496,14.350001
3360.0,-80.97713,14.400001
3371.6667,-92.03933,14.450001
3383.3335,-85.859726,14.500001
3395.0,-79.37252,14.55
3406.6667,-86.348885,14.6
3418.3335,-89.65521,14.650001
3430.0,-95.49897,14.700001
3441.6667,-84.96703,14.750001
3453.3335,-89.334,14.800001
3465.0,-113.45819,14.85
3476.6667,-88.04912,14.900001
3488.3335,-87.66094,14.950001
3500.0,-63.391228,15.0
3511.6667,-78.25767,15.050001
3523.3335,-75.30418,15.100001
3535.0,-78.267204,15.150001
3546.6667,-83.62881,15.200001
3558.3335,-96.21784,15.250001
3570.0,-96.98227,15.3
3581.6667,-91.15211,15.35
3593.3335,-104.82039,15.400001
3605.0,-90.51549,15.450001
3616.6667,-83.87218,15.500001
3628.3335,-83.18264,15.550001
3640.0,-78.31413,15.6
3651.6667,-89.60865,15.650001
3663.3335,-90.24362,15.700001
3675.0,-87.82205,15.75
3686.6667,-79.607704,15.800001
3698.3335,-91.393036,15.850001
3710.0,-83.581154,15.900001
3721.6667,-80.71538,15.950001
3733.3335,-73.7455,16.000002
3745.0,-82.449554,16.050001
3756.6667,-84.575165,16.1
3768.3335,-80.26308,16.150002
3780.0,-86.11258,16.2
3791.6667,-97.06038,16.25
3803.3335,-103.77693,16.300001
3815.0,-89.09142,16.35
3826.6667,-85.887596,16.400002
3838.3335,-90.232254,16.45
3850.0,-81.40716,16.5
3861.6667,-83.09101,16.550001
3873.3335,-85.72097,16.6
3885.0,-79.09366,16.65
3896.6667,-85.10163,16.7
3908.3335,-91.150276,16.750002
3920.0,-79.96786,16.800001
3931.6667,-93.94652,16.85
3943.3335,-88.53954,16.900002
3955.0,-83.04043,16.95
3966.6667,-69.38771,17.0
3978.3335,-86.07149,17.050001
3990.0,-80.920135,17.1
4001.6667,-79.60159,17.150002
4013.3335,-77.05712,17.2
4025.0,-74.67475,17.25
4036.6667,-83.45041,17.300001
4048.3335,-77.93059,17.35
4060.0,-82.82998,17.4
4071.6667,-92.17149,17.45
4083.3335,-87.6736,17.500002
4095.0,-92.04222,17.550001
4106.667,-87.74132,17.600002
4118.3335,-84.91383,17.650002
4130.0,-88.26379,17.7
4141.667,-85.50968,17.750002
4153.3335,-84.51517,17.800001
4165.0,-97.06864,17.85
4176.667,-86.79803,17.900002
4188.3335,-82.43796,17.95
4200.0,-74.70422,18.0
4211.667,-82.52898,18.050001
4223.3335,-75.58066,18.1
4235.0,-85.15976,18.15
4246.667,-92.45705,18.200003
4258.3335,-82.79396,18.250002
4270.0,-85.439995,18.300001
4281.667,-83.0258,18.350002
4293.3335,-84.700806,18.400002
4305.0,-85.04819,18.45
4316.667,-82.40817,18.500002
4328.3335,-90.036125,18.550001
